trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.4, 'e': 0.6703200460356393}",20,0,-103.69165286371748,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
102,False,"{'a': 0.4, 'e': 0.6676441212689289}",20,0,-362.0841959144402,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.4, 'e': 0.6649788788224019}",20,0,-345.4011782456882,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.4, 'e': 0.6623242760521223}",25,16,4.668264565329102,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.659680270484389}",20,0,-351.9662726475287,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.6570468198150569}",20,0,-359.4857195429032,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.4, 'e': 0.6544238819088586}",25,8,-380.84349531328235,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
108,False,"{'a': 0.4, 'e': 0.651811414798732}",30,0,-717.7702096460899,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
109,False,"{'a': 0.4, 'e': 0.6492093766851474}",25,0,-1442.680540205493,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
110,False,"{'a': 0.4, 'e': 0.6466177259354396}",20,8,-55.73235291299559,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.6440364210831414}",20,0,-355.31213283939434,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
112,False,"{'a': 0.4, 'e': 0.6414654208273198}",25,0,-17.211600009857346,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.4, 'e': 0.6389046840319162}",30,6,-354.10313705497333,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
